State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Sonja,3,0.02
TIRANE,F,2013,Soraya,1,0.01
TIRANE,F,2013,Sorea,1,0.01
TIRANE,F,2013,Soviona,1,0.01
TIRANE,F,2013,Stea,1,0.01
TIRANE,F,2013,Stefani,2,0.01
TIRANE,F,2013,Stefania,1,0.01
TIRANE,F,2013,Steisi,1,0.01
TIRANE,F,2013,Stejsi,2,0.01
TIRANE,F,2013,Stela,8,0.05
TIRANE,F,2013,Stelina,2,0.01
TIRANE,F,2013,Stesi,1,0.01
TIRANE,F,2013,Stevi,1,0.01
TIRANE,F,2013,Suada,9,0.05
TIRANE,F,2013,Suami,1,0.01
TIRANE,F,2013,Sudi,1,0.01
TIRANE,F,2013,Sueda,4,0.02
TIRANE,F,2013,Suela,4,0.02
TIRANE,F,2013,Suena,1,0.01
TIRANE,F,2013,Sukejna,1,0.01
TIRANE,F,2013,Suvjena,1,0.01
