State,Sex,Year,Name,Number,Percent
TIRANE,F,2013,Loida,1,0.01
TIRANE,F,2013,Lois,5,0.03
TIRANE,F,2013,Lonesta,1,0.01
TIRANE,F,2013,Lonida,1,0.01
TIRANE,F,2013,Lorah,1,0.01
TIRANE,F,2013,Lorea,2,0.01
TIRANE,F,2013,Loreina,1,0.01
TIRANE,F,2013,Lorelia,1,0.01
TIRANE,F,2013,Lorena,12,0.07
TIRANE,F,2013,Lorenc,1,0.01
TIRANE,F,2013,Lori,1,0.01
TIRANE,F,2013,Lorida,1,0.01
TIRANE,F,2013,Lorina,2,0.01
TIRANE,F,2013,Lorna,1,0.01
TIRANE,F,2013,Luar,1,0.01
TIRANE,F,2013,Luarda,2,0.01
TIRANE,F,2013,Luela,2,0.01
TIRANE,F,2013,Luena,2,0.01
TIRANE,F,2013,Luensa,1,0.01
TIRANE,F,2013,Luesa,2,0.01
TIRANE,F,2013,Luina,1,0.01
TIRANE,F,2013,Luisa,1,0.01
TIRANE,F,2013,Luisinda,1,0.01
TIRANE,F,2013,Luixhina,1,0.01
TIRANE,F,2013,Luiza,2,0.01
TIRANE,F,2013,Luljeta,1,0.01
TIRANE,F,2013,Lumisa,1,0.01
TIRANE,F,2013,Lumturi,1,0.01
TIRANE,F,2013,Luna,8,0.05
TIRANE,F,2013,Luna Amelia,1,0.01
TIRANE,F,2013,Luna Joy,1,0.01
TIRANE,F,2013,Lura,1,0.01
TIRANE,F,2013,Lurjana,1,0.01
TIRANE,F,2013,Lusana,1,0.01
TIRANE,F,2013,Lusia,1,0.01
TIRANE,F,2013,Lusiana,2,0.01
TIRANE,F,2013,Lusila,1,0.01
TIRANE,F,2013,Lusjana,2,0.01
TIRANE,F,2013,Mabel,4,0.02
TIRANE,F,2013,Madea,1,0.01
TIRANE,F,2013,Madena,1,0.01
TIRANE,F,2013,Maibel,1,0.01
TIRANE,F,2013,Maibi,1,0.01
TIRANE,F,2013,Maida,2,0.01
TIRANE,F,2013,Maikea,1,0.01
TIRANE,F,2013,Maila,2,0.01
TIRANE,F,2013,Maira,2,0.01
TIRANE,F,2013,Maisa,1,0.01
TIRANE,F,2013,Maita,1,0.01
TIRANE,F,2013,Majda,1,0.01
TIRANE,F,2013,Majla,1,0.01
TIRANE,F,2013,Majlinda,3,0.02
TIRANE,F,2013,Malbina,1,0.01
TIRANE,F,2013,Malinda,1,0.01
TIRANE,F,2013,Malvina,5,0.03
TIRANE,F,2013,Mantea,1,0.01
TIRANE,F,2013,Manuela,2,0.01
TIRANE,F,2013,Mara,3,0.02
TIRANE,F,2013,Margarita,1,0.01
TIRANE,F,2013,Maria,3,0.02
TIRANE,F,2013,Maria Roxana,1,0.01
TIRANE,F,2013,Maribela,1,0.01
TIRANE,F,2013,Maridjola,1,0.01
TIRANE,F,2013,Marie,1,0.01
TIRANE,F,2013,Mariglena,2,0.01
TIRANE,F,2013,Marije,1,0.01
TIRANE,F,2013,Marilena,1,0.01
TIRANE,F,2013,Marina,12,0.07
TIRANE,F,2013,Marinela,3,0.02
TIRANE,F,2013,Marion,1,0.01
TIRANE,F,2013,Maris,1,0.01
TIRANE,F,2013,Marisa,8,0.05
TIRANE,F,2013,Mariza,1,0.01
TIRANE,F,2013,Marjeta,1,0.01
TIRANE,F,2013,Markela,1,0.01
TIRANE,F,2013,Marla,3,0.02
TIRANE,F,2013,Marlin,1,0.01
TIRANE,F,2013,Marlinda,1,0.01
TIRANE,F,2013,Marsela,5,0.03
TIRANE,F,2013,Marsi,3,0.02
TIRANE,F,2013,Marsia,1,0.01
TIRANE,F,2013,Marsida,2,0.01
TIRANE,F,2013,Marsigena,1,0.01
TIRANE,F,2013,Marsilda,1,0.01
TIRANE,F,2013,Marsilena,1,0.01
TIRANE,F,2013,Marta,1,0.01
TIRANE,F,2013,Martina,8,0.05
